[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 서먼 유니콘 박서 (1226/4), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 서먼 유니콘 미라쥬 (1227/4), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 오라 플레어 (1231/31), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 하이드로 블래스트 (1235/36), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 프로스트 볼트 (1236/21), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 아이스 대거 (1237/19), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 프리징 스킨 (1238/3), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 솔라 스파크 (1264/3), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 솔라 플레어 (1265/14), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 에너지 볼트 (1274/4), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 오라 볼트 (1275/14), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 오라 심포니 (1288/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 블리자드 (1290/6), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 엘레멘탈 심포니 (1293/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 아쿠아 스플래시 (1295/17), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 클리어 마인드 (1297/6), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 아케인 카오스 (1338/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 아이스 보텍스 (1340/3), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 인크리스 오브 디비니티 (1405/4), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 오라 플래쉬 (1417/5), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 아이스 보텍스 크러셔 (1453/2), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 프로스트 아머 (1493/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 아케인 실드 (1556/5), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 스펠 마스터 (1830/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:09] AUDIT, Player 가츠 has invalid skill 라이딩 페가수스 (1834/1), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.08 15:22:10] AUDIT, Player 가츠 has invalid skill 바인드 (53006/5), class:엘븐 나이트, Player:가츠[268469059], BROADCAST
[02.13 05:07:06] AUDIT, Player 가츠 has invalid skill 자유 텔레포트 (2588/1), class:소드싱어, Player:가츠[268469059], BROADCAST
[02.14 14:11:57] AUDIT, Player 가츠 has invalid skill 트리플 슬래시 (1/45), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.14 15:46:00] AUDIT, Player 가츠 has invalid skill null (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.14 16:00:28] AUDIT, Player 가츠 has invalid skill null (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.14 16:03:18] AUDIT, Player 가츠 has invalid skill null (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.14 16:55:41] AUDIT, Player 가츠 has invalid skill 꽃 비가 내리는 아름다운 밤 (30273/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.16 16:04:28] AUDIT, Player 가츠 has invalid skill 아가시온 봉인 해제 - 그노시안 (21159/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
[02.16 16:04:28] AUDIT, Player 가츠 has invalid skill 베스페르의 괴력 (22159/1), class:미스틱 뮤즈, Player:가츠[268469059], BROADCAST
