[06.05 09:02:11] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 인세슨트코어 소드(1) [268468224], 무기 강화 주문서-S그레이드(10) [268468178]
[06.05 09:02:15] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +7 인세슨트코어 소드(1) [268468224], 무기 강화 주문서-S그레이드(9) [268468178]
[06.05 09:02:18] Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +7 인세슨트코어 소드(0) [268468224], 무기 강화 주문서-S그레이드(8) [268468178]
[06.05 09:10:45] Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +7 인세슨트코어 소드(0) [268467695], 무기 강화 주문서-S그레이드(122) [268467858]
[06.05 09:32:08] Blessed Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(11) [268467932]
[06.05 09:33:06] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(10) [268467932]
[06.05 09:33:09] Blessed Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(9) [268467932]
[06.05 09:36:00] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +7 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(8) [268467932]
[06.05 09:36:06] Blessed Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(7) [268467932]
[06.05 09:36:30] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(6) [268467932]
[06.05 09:36:38] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +2 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(5) [268467932]
[06.05 09:36:43] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +3 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(4) [268467932]
[06.05 09:36:47] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +4 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(3) [268467932]
[06.05 09:36:49] Blessed Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(2) [268467932]
[06.05 09:37:23] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +5 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(1) [268467932]
[06.05 09:37:27] Blessed Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(0) [268467932]
[06.05 09:37:55] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(122) [268468352]
[06.05 09:37:59] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +2 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(121) [268468352]
[06.05 09:38:02] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +3 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(120) [268468352]
[06.05 09:38:04] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +4 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(119) [268468352]
[06.05 09:38:07] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +5 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(118) [268468352]
[06.05 09:38:10] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(117) [268468352]
[06.05 09:38:13] Blessed Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(116) [268468352]
[06.05 09:38:45] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(115) [268468352]
[06.05 09:38:49] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +2 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(114) [268468352]
[06.05 09:38:52] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +3 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(113) [268468352]
[06.05 09:38:54] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +4 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(112) [268468352]
[06.05 09:38:57] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +5 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(111) [268468352]
[06.05 09:38:59] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +6 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(110) [268468352]
[06.05 09:39:02] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +7 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(109) [268468352]
[06.05 09:39:05] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +8 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(108) [268468352]
[06.05 09:39:09] Blessed Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, 축복받은 아포칼립스 스토머(1) [268468985], 축복받은 무기 강화 주문서-R그레이드(107) [268468352]
[06.08 20:05:31] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 봉인된 아바돈 부츠(1) [268480849], 갑옷 강화 주문서-B그레이드(0) [268480850]
[06.29 18:02:57] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +10 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(2) [268854567]
[06.29 18:03:09] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +10 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(1) [268854567]
[06.30 22:23:14] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +1 축복받은 헬리오스 버스터(1) [268737746], 파멸의 무기 강화 주문서-R그레이드(0) [268854567]
[06.30 22:24:31] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +2 축복받은 헬리오스 버스터(1) [268737746], 파멸의 무기 강화 주문서-R그레이드(122) [268517417]
[06.30 22:24:48] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +10 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(121) [268517417]
[06.30 22:25:06] Safe Fail, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +10 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(1) [268467644]
[06.30 22:25:13] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +11 아포칼립스 듀얼대거(1) [268672414], 파멸의 무기 강화 주문서-R그레이드(0) [268467644]
[06.30 22:32:28] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +3 축복받은 헬리오스 버스터(1) [268737746], 축복받은 무기 강화 주문서-R그레이드(1) [268472464]
[06.30 22:33:12] Success, Character:가츠 [268469059] Account:admin IP:192.168.0.1, +4 축복받은 헬리오스 버스터(1) [268737746], 축복받은 무기 강화 주문서-R그레이드(0) [268472464]
